PersonID,registered,party_reg,vote_intent,right_track,rcv_familiarity,most_important_issue,rcv_difficulty,ideo_self_id,education,age_cat,gender,borough,method_combined,morales_combined,stringer_combined,wiley_combined,garcia_combined,adams_combined,donovan_combined,yang_combined,other_combined,impact_of_rcv_exp,race,age_weight,gender_weight,edu_weight,boro_weight,race_weight,weight,age,morales,stringer,wiley,garcia,adams,donovan,yang,other
939,Yes,The Democratic party,I have already voted,Not sure,Moderately familiar,Police reform,Very easy,Very liberal or progressive,"Some college, but no degree",35-54,Male,Bronx,Vote by absentee ballot,Not Ranked,Not Ranked,1,Not Ranked,Not Ranked,2,3,Not Ranked,Much more likely,Hispanic,2,2,1,1,2,0.872989131,1,,,1,,,2,3,
788,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Very easy,Very liberal or progressive,Graduate or professional degree,65+,Male,Staten Island,Vote early in-person,Not Ranked,1,Not Ranked,2,Not Ranked,4,Not Ranked,Not Ranked,No change,White,4,2,3,5,1,0.476154424,2,,1,,2,,4,,
465,Yes,The Democratic party,I have already voted,Right direction,Not too familiar,COVID-19/coronavirus,Hard,Moderate,Vocational or technical school,35-54,Female,Brooklyn,Vote by absentee ballot,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,1,Somewhat less likely,AAPI,2,1,1,2,4,1.539831033,1,,,,,,,,1
978,Yes,The Democratic party,I have already voted,Wrong track,Not too familiar,Crime,Easy,Very liberal or progressive,Not sure,18-34,Male,Manhattan,Vote early in-person,1,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Not Ranked,Much less likely,Black,1,2,4,3,3,0.775880104,1,1,,,,,,,
385,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Crime,Easy,Moderate,"Some college, but no degree",65+,Female,Queens,Vote early in-person,Not Ranked,3,Not Ranked,2,1,5,Not Ranked,Not Ranked,Much more likely,White,4,1,1,4,1,1.36353972,2,,3,,2,1,5,,
411,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Easy,Somewhat liberal or progressive,Graduate or professional degree,18-34,Male,Brooklyn,Vote early in-person,Not Ranked,Not Ranked,Not Ranked,1,3,5,2,Not Ranked,No change,Hispanic,1,2,3,2,2,0.91466987,1,,,,1,3,5,2,
708,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Crime,Easy,Moderate,Four-year college graduate (bachelors degree),55-64,Female,Manhattan,Vote by absentee ballot,5,Not Ranked,Not Ranked,1,4,2,3,Not Ranked,Somewhat more likely,White,3,1,2,3,1,0.814504638,2,5,,,1,4,2,3,
590,Yes,The Democratic party,I have already voted,Not sure,Moderately familiar,COVID-19/coronavirus,Easy,Somewhat liberal or progressive,"Some college, but no degree",65+,Male,Manhattan,Vote early in-person,Not Ranked,2,Not Ranked,1,3,Not Ranked,Not Ranked,Not Ranked,Much more likely,White,4,2,1,3,1,1.116700144,2,,2,,1,3,,,
328,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Homelessness,Very easy,Very liberal or progressive,"Some college, but no degree",55-64,Male,Brooklyn,Vote early in-person,3,Not Ranked,1,2,4,Not Ranked,5,Not Ranked,No change,Hispanic,3,2,1,2,2,1.12584112,2,3,,1,2,4,,5,
921,Yes,The Democratic party,I have already voted,Not sure,Moderately familiar,Police reform,Easy,Moderate,"Some college, but no degree",65+,Female,Bronx,Vote early in-person,Not Ranked,5,4,Not Ranked,1,3,Not Ranked,Not Ranked,Somewhat less likely,Black,4,1,1,1,3,1.189190989,2,,5,4,,1,3,,
260,Yes,The Democratic party,I have already voted,Not sure,Very familiar,Crime,Easy,Very liberal or progressive,"Some college, but no degree",65+,Male,Brooklyn,Vote early in-person,Not Ranked,Not Ranked,Not Ranked,Not Ranked,1,Not Ranked,3,Not Ranked,No change,Black,4,2,1,2,3,1.323497272,2,,,,,1,,3,
646,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Homelessness,Very easy,Somewhat conservative,Graduate or professional degree,55-64,Female,Manhattan,Vote early in-person,Not Ranked,3,2,Not Ranked,1,Not Ranked,Not Ranked,Not Ranked,Somewhat more likely,Black,3,1,3,3,3,0.903887786,2,,3,2,,1,,,
801,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Police reform,Hard,Very liberal or progressive,"Some college, but no degree",65+,Male,Staten Island,Vote early in-person,5,4,2,3,1,Not Ranked,Not Ranked,Not Ranked,Much more likely,White,4,2,1,5,1,0.697623358,2,5,4,2,3,1,,,
758,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Very easy,Moderate,Four-year college graduate (bachelors degree),35-54,Female,Queens,Vote by absentee ballot,Not Ranked,Not Ranked,4,Not Ranked,3,2,1,Not Ranked,Somewhat less likely,AAPI,2,1,2,4,4,1.250286676,1,,,4,,3,2,1,
366,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Housing,Hard,Somewhat liberal or progressive,Four-year college graduate (bachelors degree),35-54,Male,Brooklyn,Vote early in-person,Not Ranked,3,1,2,Not Ranked,Not Ranked,5,4,Somewhat more likely,White,2,2,2,2,1,0.719736132,1,,3,1,2,,,5,4
289,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Jobs,Easy,Somewhat conservative,"Some college, but no degree",18-34,Male,Manhattan,Vote early in-person,Not Ranked,Not Ranked,1,3,2,4,5,Not Ranked,Much more likely,AAPI,1,2,1,3,4,1.897518571,1,,,1,3,2,4,5,
918,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Jobs,Very easy,Somewhat liberal or progressive,Associates or other two-year degree,65+,Male,Bronx,Vote early in-person,Not Ranked,Not Ranked,Not Ranked,Not Ranked,1,2,3,Not Ranked,No change,Black,4,2,1,1,3,1.13741182,2,,,,,1,2,3,
