PersonID,registered,party_reg,vote_intent,right_track,rcv_familiarity,most_important_issue,rcv_difficulty,ideo_self_id,education,age_cat,gender,borough,method_combined,impact_of_rcv_exp,race,age,other,weight,1,2,3,4,5
939,Yes,The Democratic party,I have already voted,Not sure,Moderately familiar,Police reform,Very easy,Very liberal or progressive,"Some college, but no degree",35-54,Male,Bronx,Vote by absentee ballot,Much more likely,Hispanic,1,,0.872989131,cMayaWiley,cShaunDonovan,cAndrewYang,,
788,Yes,The Democratic party,I have already voted,Right direction,Very familiar,Crime,Very easy,Very liberal or progressive,Graduate or professional degree,65+,Male,Staten Island,Vote early in-person,No change,White,2,,0.476154424,cScottStringer,cKathrynGarcia,,cShaunDonovan,
465,Yes,The Democratic party,I have already voted,Right direction,Not too familiar,COVID-19/coronavirus,Hard,Moderate,Vocational or technical school,35-54,Female,Brooklyn,Vote by absentee ballot,Somewhat less likely,AAPI,1,1.0,1.539831033,,,,,
978,Yes,The Democratic party,I have already voted,Wrong track,Not too familiar,Crime,Easy,Very liberal or progressive,Not sure,18-34,Male,Manhattan,Vote early in-person,Much less likely,Black,1,,0.775880104,cDianneMorales,,,,
385,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Crime,Easy,Moderate,"Some college, but no degree",65+,Female,Queens,Vote early in-person,Much more likely,White,2,,1.36353972,cEricAdams,cKathrynGarcia,cScottStringer,,cShaunDonovan
411,Yes,The Democratic party,I have already voted,Wrong track,Very familiar,Crime,Easy,Somewhat liberal or progressive,Graduate or professional degree,18-34,Male,Brooklyn,Vote early in-person,No change,Hispanic,1,,0.91466987,cKathrynGarcia,cAndrewYang,cEricAdams,,cShaunDonovan
708,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Crime,Easy,Moderate,Four-year college graduate (bachelors degree),55-64,Female,Manhattan,Vote by absentee ballot,Somewhat more likely,White,2,,0.814504638,cKathrynGarcia,cShaunDonovan,cAndrewYang,cEricAdams,cDianneMorales
590,Yes,The Democratic party,I have already voted,Not sure,Moderately familiar,COVID-19/coronavirus,Easy,Somewhat liberal or progressive,"Some college, but no degree",65+,Male,Manhattan,Vote early in-person,Much more likely,White,2,,1.116700144,cKathrynGarcia,cScottStringer,cEricAdams,,
328,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Homelessness,Very easy,Very liberal or progressive,"Some college, but no degree",55-64,Male,Brooklyn,Vote early in-person,No change,Hispanic,2,,1.12584112,cMayaWiley,cKathrynGarcia,cDianneMorales,cEricAdams,cAndrewYang
921,Yes,The Democratic party,I have already voted,Not sure,Moderately familiar,Police reform,Easy,Moderate,"Some college, but no degree",65+,Female,Bronx,Vote early in-person,Somewhat less likely,Black,2,,1.189190989,cEricAdams,,cShaunDonovan,cMayaWiley,cScottStringer
260,Yes,The Democratic party,I have already voted,Not sure,Very familiar,Crime,Easy,Very liberal or progressive,"Some college, but no degree",65+,Male,Brooklyn,Vote early in-person,No change,Black,2,,1.323497272,cEricAdams,,cAndrewYang,,
646,Yes,The Democratic party,I have already voted,Wrong track,Moderately familiar,Homelessness,Very easy,Somewhat conservative,Graduate or professional degree,55-64,Female,Manhattan,Vote early in-person,Somewhat more likely,Black,2,,0.903887786,cEricAdams,cMayaWiley,cScottStringer,,
801,Yes,The Democratic party,I have already voted,Right direction,Moderately familiar,Police reform,Hard,Very liberal or progressive,"Some college, but no degree",65+,Male,Staten Island,Vote early in-person,Much more likely,White,2,,0.697623358,cEricAdams,cMayaWiley,cKathrynGarcia,cScottStringer,cDianneMorales
